2026-04-03 17:33:00 | INFO     | root | [17/100]trajectory angle_error: [ 179.047  180.048  -90.976  155.313   79.587 -314.318], begin_angle: [ 301.12   218.803 -123.054  206.531  108.98   357.906], end_angle: [-225.06    84.952  -84.024  109.687   58.204   41.473]
2026-04-03 17:33:00 | INFO     | root | [18/100]trajectory angle_error: [-257.966  202.838 -176.264  213.402 -109.78  -339.384], begin_angle: [-123.984  143.245 -112.937  159.355  -61.903   69.514], end_angle: [ 21.645  62.162   1.264  51.598  41.013 130.688]
2026-04-03 17:33:01 | INFO     | root | [19/100]trajectory angle_error: [ -46.098 -207.024 -153.265  107.749 -594.919 -156.629], begin_angle: [236.226 -72.023 -74.191  35.662 171.071 142.877], end_angle: [246.629 156.092  38.222 129.281 234.919  71.883]
2026-04-03 17:33:01 | INFO     | root | [20/100]trajectory angle_error: [-176.213  277.211  -51.189 -104.958 -424.15  -112.939], begin_angle: [  46.601  -15.613  -59.853   54.98    -8.85  -307.871], end_angle: [-183.787  -39.841 -123.811  226.375   64.15  -218.521]
2026-04-03 17:33:02 | INFO     | root | [21/100]trajectory angle_error: [-377.144  312.818 -141.314   75.405 -152.708 -484.075], begin_angle: [  30.101   25.308 -140.228   88.41   245.563   76.104], end_angle: [344.516 -47.818 -33.686 189.595 315.3   338.688]
2026-04-03 17:33:02 | INFO     | root | [22/100]trajectory angle_error: [-470.134  152.49  -233.534 -159.682 -568.706  -32.674], begin_angle: [-120.096   59.247  167.74    77.391  124.479 -190.747], end_angle: [ 151.037  112.51    58.534  237.932  208.706 -327.326]
2026-04-03 17:33:02 | INFO     | root | [23/100]trajectory angle_error: [ -65.234  309.046 -332.946   82.015  167.799 -604.998], begin_angle: [-217.554  122.628  -98.136  -83.146  174.117 -143.758], end_angle: [-204.674  -44.046  157.946  182.985  137.59   244.998]
2026-04-03 17:33:03 | INFO     | root | [24/100]trajectory angle_error: [-704.794   61.33  -131.865  -15.848 -412.987 -311.245], begin_angle: [-237.944  133.535 -174.031  122.057  103.995 -302.461], end_angle: [344.794 203.67  -43.135  52.027 110.727  57.697]
2026-04-03 17:33:03 | INFO     | root | [25/100]trajectory angle_error: [-212.978  313.94  -334.271  258.431  265.448 -343.195], begin_angle: [-164.522  199.567 -122.463  111.132  295.727  269.897], end_angle: [-107.214  -48.94   159.271    6.569  -81.509  -16.805]
2026-04-03 17:33:04 | INFO     | root | [26/100]trajectory angle_error: [-282.37   268.26  -313.457  267.144 -416.991 -333.024], begin_angle: [133.251  68.742 -19.121  62.073 313.629 -48.414], end_angle: [230.258  -3.26  138.457  -2.144 305.14  -26.976]
2026-04-03 17:33:04 | INFO     | root | [27/100]trajectory angle_error: [-408.968  330.742   -0.679   43.632  468.902 -173.274], begin_angle: [-251.018  242.428  -59.237  107.059   72.797 -177.443], end_angle: [ 181.106  -65.742 -174.321  221.368 -261.217  -78.677]
2026-04-03 17:33:04 | INFO     | root | [28/100]trajectory angle_error: [-488.97   116.548 -138.318 -124.243  -88.376 -435.098], begin_angle: [-349.511  255.182   18.034  -53.898  253.336 -175.231], end_angle: [128.97  148.452  24.97  251.455  48.525  75.098]
2026-04-03 17:33:05 | INFO     | root | [29/100]trajectory angle_error: [ -61.578  342.324   -7.948  222.337   18.364 -146.725], begin_angle: [ -2.569 163.945 150.841  44.629 294.5    78.362], end_angle: [-222.999  -77.324 -167.052   42.663  282.818 -106.999]
2026-04-03 17:33:05 | INFO     | root | [30/100]trajectory angle_error: [-129.54    55.255 -154.096   78.383 -212.407 -234.687], begin_angle: [ 85.97   87.435  33.164  51.121 -44.017 292.161], end_angle: [140.062 209.745 -16.895 186.617  92.974 153.425]
2026-04-03 17:33:06 | INFO     | root | [31/100]trajectory angle_error: [-513.338 -212.01  -164.214 -104.437 -519.909 -441.481], begin_angle: [ -96.902   15.295  166.44   -25.21   108.583 -187.72 ], end_angle: [153.338 245.092  69.224  19.437 159.909  81.481]
